"rank","seller_id","priority_score","late_delivery_rate","late_rate_norm","score_late_component","canceled_or_unavailable_rate","canceled_rate_norm","score_cancel_component","median_delivery_delay_days","positive_delay_norm","score_delay_component","seller_order_count","volume_exposure_norm","score_volume_component"
71,"b2479f944e1b90cf8a5de1bbfde284d6",0.230534664471023,0.138613861386139,0.36963696369637,0.147854785478548,0.00970873786407767,0.116504854368932,0.029126213592233,0,0,0,103,0.357024436001616,0.0535536654002424
72,"6560211a19b47992c3666cc44a7e94c0",0.229935986734772,0.0643210555250137,0.17152281473337,0.068609125893348,0.00377562028047465,0.0453074433656958,0.0113268608414239,0,0,0,1854,1,0.15
73,"602044f2c16190c2c6e45eb35c2e21cb",0.229701403308825,0.1875,0.5,0.2,0,0,0,0,0,0,50,0.198009355392169,0.0297014033088253
74,"f12ff17ad8bbf01ec5c33b17e506649b",0.229673253321592,0.107142857142857,0.285714285714286,0.114285714285714,0.0344827586206897,0.413793103448276,0.103448275862069,0,0,0,29,0.0795950878253904,0.0119392631738086
75,"8f2ce03f928b567e3d56181ae20ae952",0.229166600701608,0.152317880794702,0.406181015452539,0.162472406181015,0,0,0,0,0,0,153,0.444627963470614,0.0666941945205921
76,"cc419e0650a3c5ba77189a1882b7556a",0.228296622618903,0.0611750454270139,0.163133454472037,0.0652533817888149,0.00527549824150059,0.063305978898007,0.0158264947245018,0,0,0,1706,0.981444974037245,0.147216746105587
77,"6ec1a01e866584bb679eb9b098345919",0.227432945591944,0.2,0.533333333333333,0.213333333333333,0,0,0,0,0,0,31,0.0939974150574042,0.0140996122586106
78,"a673821011d0cec28146ea42f5ab767f",0.227001420977393,0.112,0.298666666666667,0.119466666666667,0.0155038759689922,0.186046511627907,0.0465116279069767,0,0,0,129,0.406820842691666,0.0610231264037499
79,"897060da8b9a21f655304d50fd935913",0.226745512732293,0.118421052631579,0.315789473684211,0.126315789473684,0.00315457413249211,0.0378548895899054,0.00946372239747634,0,0,0,317,0.60644000574088,0.090966000861132
80,"dd7ddc04e1b6c2c614352b383efe2d36",0.226663461736599,0.15702479338843,0.418732782369146,0.167493112947658,0,0,0,0,0,0,122,0.394468991926267,0.0591703487889401
81,"1835b56ce799e6a4dc4eddc053f04066",0.225935539166868,0.117505995203837,0.313349320543565,0.125339728217426,0,0,0,0,0,0,423,0.670638739662944,0.100595810949442
82,"fa1c13f2614d7b5c4749cbc52fecda94",0.225436877528195,0.102076124567474,0.272202998846597,0.108881199538639,0.00170940170940171,0.0205128205128205,0.00512820512820513,0,0,0,585,0.742849819075674,0.111427472861351
83,"8e6d7754bc7e0f22c96d255ebda59eba",0.224969962990147,0.166666666666667,0.444444444444444,0.177777777777778,0,0,0,0,0,0,85,0.314614568082462,0.0471921852123693
84,"2eb70248d66e0e3ef83659f71b244378",0.224248038178236,0.13903743315508,0.370766488413547,0.148306595365419,0,0,0,0,0,0,202,0.50627628541878,0.075941442812817
85,"b2ba3715d723d245138f291a6fe42594",0.224089278176022,0.0895061728395062,0.238683127572016,0.0954732510288066,0.0118694362017804,0.142433234421365,0.0356083086053412,0,0,0,337,0.620051456945828,0.0930077185418742
86,"77530e9772f57a62c906e1c21538ab82",0.223732234161062,0.115384615384615,0.307692307692308,0.123076923076923,0.003125,0.0375,0.009375,0,0,0,320,0.608535407227594,0.0912803110841392
87,"431af27f296bc6519d890aa5a05fdb11",0.22329843677422,0.155172413793103,0.413793103448276,0.16551724137931,0,0,0,0,0,0,117,0.385207969299401,0.0577811953949101
88,"440dd6ab244315c632130ecfb63827b1",0.223098052541809,0.131868131868132,0.351648351648352,0.140659340659341,0.0106382978723404,0.127659574468085,0.0319148936170213,0,0,0,94,0.33682545510298,0.050523818265447
89,"955fee9216a65b617aa5c0531780ce60",0.223017132824909,0.077716098334655,0.207242928892413,0.0828971715569654,0.000777000777000777,0.00932400932400932,0.00233100233100233,0,0,0,1287,0.918593059579606,0.137788958936941
90,"7aa4334be125fcdd2ba64b3180029f14",0.222876045436127,0.135514018691589,0.361370716510903,0.144548286604361,0,0,0,0,0,0,217,0.522185058878439,0.0783277588317659
91,"7040e82f899a04d1b434b795a43b4617",0.222568002615119,0.0961538461538462,0.256410256410256,0.102564102564103,0.0141509433962264,0.169811320754717,0.0424528301886792,0,0,0,212,0.51700713241558,0.077551069862337
92,"002100f778ceb8431b7a1020ff7ab48f",0.222351400291566,0.18,0.48,0.192,0,0,0,0,0,0,51,0.202342668610443,0.0303514002915665
93,"8581055ce74af1daba164fdbd55a40de",0.220077729419083,0.100263852242744,0.267370272647317,0.106948109058927,0.00516795865633075,0.062015503875969,0.0155038759689922,0,0,0,387,0.650838295941089,0.0976257443911634
94,"da8622b14eb17ae2831f4ac5b9dab84a",0.21984623487107,0.07627765064836,0.203407068395627,0.0813628273582507,0,0,0,0,0,0,1314,0.92322271675213,0.13848340751282
