"threshold","tpr","fpr"
0.3197724540009,0.012779552715655,0.00259461898584246
0.319281612874816,0.012779552715655,0.00265102374640425
0.318851545733841,0.012779552715655,0.00270742850696604
0.318520172215737,0.012779552715655,0.00276383326752783
0.316525258704864,0.0134185303514377,0.00276383326752783
0.315670484325988,0.0134185303514377,0.00282023802808962
0.315145470462055,0.0134185303514377,0.00287664278865141
0.313541795201096,0.0134185303514377,0.0029330475492132
0.313484510043781,0.0134185303514377,0.00298945230977499
0.313381902383796,0.0134185303514377,0.00304585707033678
0.313220085680472,0.0140575079872204,0.00304585707033678
0.312690172173695,0.0140575079872204,0.00310226183089857
0.311747682414229,0.0140575079872204,0.00315866659146036
0.311730998827934,0.0140575079872204,0.00321507135202215
0.311562971621705,0.0140575079872204,0.00327147611258394
0.311252262038935,0.0140575079872204,0.00332788087314573
0.310900784987819,0.0140575079872204,0.00338428563370752
0.310839056314275,0.0140575079872204,0.00344069039426931
0.310789483760656,0.0140575079872204,0.0034970951548311
0.310154248391457,0.0140575079872204,0.00355349991539289
0.310069184200882,0.0140575079872204,0.00360990467595468
0.309903450251211,0.0140575079872204,0.00366630943651647
0.309745914395398,0.0146964856230032,0.00366630943651647
0.308785934159118,0.0146964856230032,0.00372271419707826
0.308324634853348,0.0153354632587859,0.00372271419707826
0.3080370628806,0.0153354632587859,0.00377911895764005
0.307966012833158,0.0153354632587859,0.00383552371820184
0.306586431656476,0.0153354632587859,0.00389192847876363
0.305938411339194,0.0153354632587859,0.00394833323932542
0.305823818995227,0.0159744408945687,0.00394833323932542
0.305591042618712,0.0159744408945687,0.00400473799988721
0.305521315118823,0.0159744408945687,0.004061142760449
0.305457594349483,0.0166134185303514,0.004061142760449
0.30447637194102,0.0166134185303514,0.00411754752101079
0.304185613526081,0.0172523961661342,0.00411754752101079
0.303857797949025,0.0172523961661342,0.00417395228157258
0.303762705410649,0.0172523961661342,0.00423035704213437
0.303714374594626,0.0172523961661342,0.00428676180269616
0.303673192085188,0.0178913738019169,0.00428676180269616
0.303199767799563,0.0178913738019169,0.00434316656325795
0.303079976181861,0.0178913738019169,0.00439957132381974
0.302903490254579,0.0178913738019169,0.00445597608438153
0.302262306518465,0.0178913738019169,0.00451238084494332
0.301448427747383,0.0185303514376997,0.00451238084494332
0.301142712793031,0.0185303514376997,0.00456878560550511
0.300919234678274,0.0185303514376997,0.0046251903660669
0.300455341929819,0.0185303514376997,0.00468159512662869
0.300147398048748,0.0191693290734824,0.00468159512662869
0.299557343358642,0.0191693290734824,0.00473799988719048
0.298877884905523,0.0198083067092652,0.00473799988719048
0.298681285087016,0.0198083067092652,0.00479440464775227
0.298280482688585,0.0198083067092652,0.00485080940831406
0.298252723341707,0.0198083067092652,0.00490721416887585
0.298231991705858,0.0198083067092652,0.00496361892943764
0.298042842585218,0.0198083067092652,0.00502002368999943
0.297761774496068,0.0198083067092652,0.00507642845056122
0.297736982375025,0.0198083067092652,0.00513283321112301
0.297589816700256,0.0198083067092652,0.0051892379716848
0.297389867186184,0.0198083067092652,0.00524564273224659
0.297241279055549,0.0198083067092652,0.00530204749280838
0.297040985223985,0.0198083067092652,0.00535845225337017
0.297009481992291,0.0198083067092652,0.00541485701393196
0.296894490694681,0.0198083067092652,0.00547126177449375
0.296284810932521,0.0198083067092652,0.00552766653505554
0.295944366148397,0.0198083067092652,0.00558407129561733
0.295199432285577,0.0204472843450479,0.00558407129561733
0.294312549397851,0.0204472843450479,0.00564047605617912
0.294098917687095,0.0204472843450479,0.00569688081674091
